,biological_gender,education_years,ethnicity
0,female,0.3873391574059415,ethnicity_A
1,female,13.576710658797818,ethnicity_B
2,male,4.232562320001181,ethnicity_A
3,male,5.310933187444524,ethnicity_A
4,female,9.831463185606765,ethnicity_A
5,female,1.0672509023416077,ethnicity_B
6,female,11.482352109840262,ethnicity_A
7,female,2.934571498116203,ethnicity_B
8,female,11.786110738065684,ethnicity_A
9,male,13.995167200418624,ethnicity_B
10,male,2.046688576556517,ethnicity_B
11,female,8.281119756391366,ethnicity_B
12,male,13.888003154554902,ethnicity_A
13,female,8.283585390538054,ethnicity_B
14,female,0.9990691789217432,ethnicity_A
15,male,10.717928118310232,ethnicity_B
16,male,13.275892904395777,ethnicity_B
17,female,10.297782241166171,ethnicity_B
18,male,18.891895119816265,ethnicity_B
19,male,11.731100810039859,ethnicity_A
20,male,18.06803830575767,ethnicity_A
21,female,2.7494940829247505,ethnicity_B
22,male,2.785526945015171,ethnicity_A
23,male,16.147825774190476,ethnicity_A
24,female,7.953536739710671,ethnicity_A
25,male,3.3070839423386555,ethnicity_A
26,male,18.550171607920678,ethnicity_B
27,male,6.955317194910132,ethnicity_B
28,female,15.01624206272311,ethnicity_A
29,male,14.51995970700903,ethnicity_B
30,male,17.666121824116196,ethnicity_B
31,male,12.473444141112179,ethnicity_A
32,female,15.018848680546743,ethnicity_A
33,female,6.977966839556851,ethnicity_B
34,female,5.3985578353005215,ethnicity_B
35,female,17.917724363921337,ethnicity_B
36,female,8.561823797425898,ethnicity_B
37,male,19.29680094296771,ethnicity_B
38,male,13.268829956368961,ethnicity_B
39,male,12.433914404182435,ethnicity_B
40,female,2.2949194590675037,ethnicity_A
41,female,18.989785174141424,ethnicity_A
42,female,8.99824266959881,ethnicity_A
43,female,11.567792287742636,ethnicity_A
44,female,8.162736055225624,ethnicity_A
45,female,4.740539604860555,ethnicity_A
46,male,18.067590411245074,ethnicity_A
47,female,11.473589733445717,ethnicity_B
48,female,0.0574065406231794,ethnicity_A
49,male,12.342898272414477,ethnicity_A
50,male,6.532898035441923,ethnicity_A
51,female,10.541162045152186,ethnicity_A
52,male,17.71884198621549,ethnicity_A
53,male,7.145395200049995,ethnicity_B
54,female,18.170703018395983,ethnicity_B
55,female,12.467202315836055,ethnicity_B
56,female,0.31642485693112565,ethnicity_B
57,male,18.588744674875226,ethnicity_A
58,female,13.81793835033848,ethnicity_A
59,male,19.94645700902961,ethnicity_A
60,male,3.446810166906571,ethnicity_B
61,female,2.742714992577555,ethnicity_A
62,female,18.65190926074327,ethnicity_B
63,male,13.936363229798003,ethnicity_A
64,female,1.3200034544412498,ethnicity_B
65,female,15.109261052049327,ethnicity_A
66,female,15.077523769224928,ethnicity_A
67,female,18.460490710929665,ethnicity_A
68,male,14.230495172569436,ethnicity_A
69,male,2.485419239443294,ethnicity_A
70,female,0.39760267679591177,ethnicity_A
71,female,0.5242197375543856,ethnicity_B
72,male,0.5661297604158921,ethnicity_A
73,male,4.924221352060918,ethnicity_A
74,male,17.20055897365776,ethnicity_A
75,male,10.776621286833057,ethnicity_B
76,female,11.056439573715318,ethnicity_A
77,female,16.840617847192114,ethnicity_B
78,female,2.483466302398223,ethnicity_B
79,male,5.58367358022279,ethnicity_A
80,female,11.715185429165757,ethnicity_A
81,male,19.39191496639349,ethnicity_B
82,male,11.2206043851142,ethnicity_B
83,female,0.3729457874588604,ethnicity_A
84,female,16.012653453612327,ethnicity_B
85,male,4.659485476820409,ethnicity_A
86,female,16.142103912375582,ethnicity_B
87,female,7.757212881283435,ethnicity_A
88,male,17.270837091188575,ethnicity_B
89,female,14.942432854743693,ethnicity_B
90,male,11.124804679808378,ethnicity_A
91,male,2.7291045132137004,ethnicity_A
92,female,1.1983537902442332,ethnicity_B
93,female,2.426869114814747,ethnicity_A
94,female,0.8910375708952345,ethnicity_A
95,male,2.149882582121858,ethnicity_A
96,female,4.514186772157094,ethnicity_A
97,female,14.259779607653533,ethnicity_A
98,male,11.194339641082848,ethnicity_B
99,female,0.2511196031823171,ethnicity_B
